date,e2,v1,proportion,proportion_se,proportion_deff,n,unw_prop
2021-01-05,City,Yes,0.006534680963282159,0.0034825423063252724,0.7360677089683019,4,0.005649717514124294
2021-01-05,City,No,0.9934653190367179,0.0034825423063252724,0.7360677089683019,391,0.5522598870056498
2021-01-05,Town,Yes,0.0013243153529447734,0.0013312212108111472,0.1795539374626291,1,0.0014124293785310734
2021-01-05,Town,No,0.9986756846470551,0.001331221210811148,0.17955393746262935,134,0.18926553672316385
2021-01-05,Village or rural area,Yes,0.04292751836529801,0.018210747532914358,1.4287400234510796,7,0.009887005649717515
2021-01-05,Village or rural area,No,0.9570724816347019,0.018210747532914358,1.4287400234510799,171,0.24152542372881355
2021-01-06,City,Yes,0.015210736123039262,0.003954383346511949,1.3957287596591774,21,0.009134406263592866
2021-01-06,City,No,0.9847892638769608,0.003954383346511949,1.3957287596591774,1317,0.5728577642453241
2021-01-06,Town,Yes,0.02113936542630848,0.00883315275105776,1.726989239068245,8,0.0034797738147020443
2021-01-06,Town,No,0.9788606345736915,0.00883315275105776,1.7269892390682449,451,0.19617224880382775
2021-01-06,Village or rural area,Yes,0.04598479582915756,0.011563597081902114,1.5270705154720878,18,0.0078294910830796
2021-01-06,Village or rural area,No,0.9540152041708425,0.011563597081902114,1.5270705154720878,484,0.21052631578947367
2021-01-07,City,Yes,0.012624212263943713,0.003952715251156667,1.452756037390764,16,0.007893438579181056
2021-01-07,City,No,0.9873757877360564,0.003952715251156667,1.452756037390764,1144,0.5643808584114455
2021-01-07,Town,Yes,0.015412084916017798,0.007325261287912988,1.4392276481617217,5,0.00246669955599408
2021-01-07,Town,No,0.9845879150839822,0.007325261287912988,1.4392276481617214,403,0.19881598421312285
2021-01-07,Village or rural area,Yes,0.045525896892383226,0.011874565272688443,1.4862191405958445,21,0.010360138135175136
2021-01-07,Village or rural area,No,0.9544741031076167,0.011874565272688443,1.4862191405958445,438,0.2160828811050814
2021-01-08,City,Yes,0.017039049997175912,0.0050121362088089835,1.4894236197294788,17,0.009413067552602437
2021-01-08,City,No,0.9829609500028241,0.0050121362088089835,1.4894236197294788,977,0.5409745293466224
2021-01-08,Town,Yes,0.0060699225640394585,0.004746079135214669,1.3366523564795876,2,0.0011074197120708748
2021-01-08,Town,No,0.9939300774359605,0.004746079135214669,1.3366523564795876,357,0.19767441860465115
2021-01-08,Village or rural area,Yes,0.05421777631917478,0.013214710490051264,1.5393070135697022,20,0.01107419712070875
2021-01-08,Village or rural area,No,0.9457822236808252,0.013214710490051264,1.5393070135697022,433,0.2397563676633444
2021-01-09,City,Yes,0.019489245909371393,0.005113355675533691,1.3792083358107134,21,0.01164079822616408
2021-01-09,City,No,0.9805107540906286,0.005113355675533691,1.3792083358107134,988,0.5476718403547672
2021-01-09,Town,Yes,0.026662522750503473,0.008197910273391742,0.9141568121961052,13,0.007206208425720621
2021-01-09,Town,No,0.9733374772494965,0.008197910273391742,0.9141568121961052,341,0.18902439024390244
2021-01-09,Village or rural area,Yes,0.03689148695182808,0.009779977147053615,1.1844892961177609,17,0.009423503325942351
2021-01-09,Village or rural area,No,0.9631085130481719,0.009779977147053615,1.1844892961177609,424,0.23503325942350334
2021-01-10,City,Yes,0.011242882036935803,0.004458841624712448,1.7437583500451643,13,0.007647058823529412
2021-01-10,City,No,0.9887571179630643,0.004458841624712448,1.7437583500451643,963,0.5664705882352942
2021-01-10,Town,Yes,0.027578406693148646,0.01265745808428189,1.8280799026467243,7,0.00411764705882353
